id,Ausbildung1,Ausbildung2,Ausbildung3,Ausbildung4,Ausbildung5 ,Promotion,Professur
HuckSandhu,Kommunikationswissenschaft,,,,,1,1
RoettgerU,Journalistik,,,,,1,1
Bentele,Germanistik ,Linguistik ,Soziologie ,Publizistikwissenschaften ,Philosophie ,1,1
Luhmann,Rechtswissenschaft ,,,,,1,1
Merten,Mathematik ,Publizistik ,Soziologie ,,,1,1
Bruhn,BWL,,,,,1,1
Mast,Politikwissenschaft ,Philologie ,Journalismus ,,,1,1
Hoffjann,Kommunikationswissenschaft,Wirtschaftspolitik,Politikwissenschaft,Neuere Geschichte,,1,1
SzyszkaP,Publizistik,Germanistik,Soziologie,Philosophie,,1,1
